A,B
./datasets/original/C2_TrainDev/trainA/38414.png,./datasets/original/C2_TrainDev/trainB/38414.png
./datasets/original/C2_TrainDev/trainA/03182.png,./datasets/original/C2_TrainDev/trainB/03182.png
./datasets/original/C2_TrainDev/trainA/29863.png,./datasets/original/C2_TrainDev/trainB/29863.png
./datasets/original/C2_TrainDev/trainA/17937.png,./datasets/original/C2_TrainDev/trainB/17937.png
./datasets/original/C2_TrainDev/trainA/40878.png,./datasets/original/C2_TrainDev/trainB/40878.png
./datasets/original/C2_TrainDev/trainA/29064.png,./datasets/original/C2_TrainDev/trainB/29064.png
./datasets/original/C2_TrainDev/trainA/33963.png,./datasets/original/C2_TrainDev/trainB/33963.png
./datasets/original/C2_TrainDev/trainA/44680.png,./datasets/original/C2_TrainDev/trainB/44680.png
./datasets/original/C2_TrainDev/trainA/35482.png,./datasets/original/C2_TrainDev/trainB/35482.png
./datasets/original/C2_TrainDev/trainA/04406.png,./datasets/original/C2_TrainDev/trainB/04406.png
./datasets/original/C2_TrainDev/trainA/49127.png,./datasets/original/C2_TrainDev/trainB/49127.png
./datasets/original/C2_TrainDev/trainA/20437.png,./datasets/original/C2_TrainDev/trainB/20437.png
./datasets/original/C2_TrainDev/trainA/20160.png,./datasets/original/C2_TrainDev/trainB/20160.png
./datasets/original/C2_TrainDev/trainA/01149.png,./datasets/original/C2_TrainDev/trainB/01149.png
./datasets/original/C2_TrainDev/trainA/17256.png,./datasets/original/C2_TrainDev/trainB/17256.png
./datasets/original/C2_TrainDev/trainA/45792.png,./datasets/original/C2_TrainDev/trainB/45792.png
./datasets/original/C2_TrainDev/trainA/23349.png,./datasets/original/C2_TrainDev/trainB/23349.png
./datasets/original/C2_TrainDev/trainA/35078.png,./datasets/original/C2_TrainDev/trainB/35078.png
./datasets/original/C2_TrainDev/trainA/14616.png,./datasets/original/C2_TrainDev/trainB/14616.png
./datasets/original/C2_TrainDev/trainA/02667.png,./datasets/original/C2_TrainDev/trainB/02667.png
./datasets/original/C2_TrainDev/trainA/19911.png,./datasets/original/C2_TrainDev/trainB/19911.png
./datasets/original/C2_TrainDev/trainA/27594.png,./datasets/original/C2_TrainDev/trainB/27594.png
./datasets/original/C2_TrainDev/trainA/31915.png,./datasets/original/C2_TrainDev/trainB/31915.png
./datasets/original/C2_TrainDev/trainA/12237.png,./datasets/original/C2_TrainDev/trainB/12237.png
